record_id,store_id,year,month,month_name,quarter,category,subcategory,sales_amount,cost_of_goods,gross_profit,gross_margin_pct,staff_cost,rent_cost,utilities_cost,marketing_cost,other_operating_cost,total_operating_cost,net_profit,net_margin_pct,customer_count,avg_basket_value,total_items_sold,avg_items_per_transaction,inventory_turnover_ratio,customer_satisfaction_score
1,ST_0001,2023,1,January,Q1,Groceries,Spices,1143276.03,1033953.87,109322.16,9.56,569226.0,159875.45,15555.05,32776.53,0,174547.84,-65225.69,-5.71,1673,683,6153,3.68,12.43,4.0
2,ST_0001,2023,1,January,Q1,Fresh Produce,Meat & Fish,816625.73,603758.23,212867.5,26.07,410670.0,114196.75,11612.75,27637.94,0,103992.08,108875.43,13.33,825,989,2411,2.92,9.29,4.0
3,ST_0001,2023,1,January,Q1,Personal Care,Oral Care,489975.44,307788.55,182186.89,37.18,229572.0,68518.05,5559.15,10916.84,0,61818.24,120368.65,24.57,269,1816,694,2.58,13.54,4.3
4,ST_0001,2023,1,January,Q1,Home Care,Detergents,326650.29,236799.77,89850.52,27.51,157806.0,45678.7,4151.0,9259.06,0,45861.41,43989.11,13.47,201,1618,533,2.66,11.39,4.7
5,ST_0001,2023,1,January,Q1,Electronics,Home Appliances,261320.23,214833.24,46486.99,17.79,159936.0,36542.96,3686.88,5699.73,0,40133.23,6353.77,2.43,76,3400,285,3.75,8.63,4.0
6,ST_0001,2023,1,January,Q1,Fashion,Clothing,228655.21,112096.65,116558.56,50.98,107994.6,31975.09,2502.08,5942.78,0,28606.06,87952.5,38.47,74,3085,300,4.06,10.89,4.4
7,ST_0001,2023,2,February,Q1,Groceries,Dal & Pulses,1306399.4,1123092.15,183307.25,14.03,694071.0,159875.45,13581.05,29041.57,0,214043.34,-30736.09,-2.35,1184,1103,2998,2.53,9.11,4.1
8,ST_0001,2023,2,February,Q1,Fresh Produce,Vegetables,933142.43,695191.88,237950.55,25.5,508125.0,114196.75,7418.75,18268.25,0,116684.61,121265.94,13.0,678,1376,2513,3.71,8.66,4.5
9,ST_0001,2023,2,February,Q1,Personal Care,Hair Care,559885.46,351268.24,208617.22,37.26,290340.0,68518.05,3904.8,19398.33,0,67938.39,140678.82,25.13,474,1180,1418,2.99,12.65,3.9
10,ST_0001,2023,2,February,Q1,Home Care,Paper Products,373256.97,275948.3,97308.67,26.07,203364.0,45678.7,2108.9,5735.53,0,51536.71,45771.96,12.26,215,1734,593,2.76,13.7,4.4
11,ST_0001,2023,2,February,Q1,Electronics,Home Appliances,298605.58,256516.53,42089.05,14.1,154944.0,36542.96,3627.44,8075.95,0,42097.65,-8.6,-0.0,60,4910,162,2.71,11.92,4.2
12,ST_0001,2023,2,February,Q1,Fashion,Footwear,261279.88,156459.64,104820.24,40.12,115613.4,31975.09,2379.09,8288.67,0,46381.48,58438.77,22.37,74,3530,210,2.85,9.07,4.5
13,ST_0001,2023,3,March,Q1,Groceries,Dal & Pulses,1634061.61,1492527.09,141534.52,8.66,674037.0,159875.45,8140.65,55718.91,0,293479.11,-151944.59,-9.3,1556,1050,4182,2.69,13.16,4.6
14,ST_0001,2023,3,March,Q1,Fresh Produce,Fruits,1167186.86,930815.21,236371.65,20.25,406770.0,114196.75,8529.25,19156.8,0,153662.71,82708.94,7.09,1051,1110,4272,4.07,14.59,4.0
15,ST_0001,2023,3,March,Q1,Personal Care,Skin Care,700312.12,470668.9,229643.21,32.79,233289.0,68518.05,5790.15,15951.98,0,108510.58,121132.64,17.3,460,1520,1677,3.65,12.19,4.0
16,ST_0001,2023,3,March,Q1,Home Care,Cleaning Supplies,466874.74,375573.05,91301.7,19.56,181830.0,45678.7,3830.7,13188.05,0,64459.96,26841.74,5.75,516,904,2247,4.35,9.69,4.2
17,ST_0001,2023,3,March,Q1,Electronics,Home Appliances,373499.8,292590.99,80908.8,21.66,126264.0,36542.96,1816.96,9440.69,0,52774.84,28133.96,7.53,62,5985,211,3.4,8.35,4.3
18,ST_0001,2023,3,March,Q1,Fashion,Footwear,326812.32,195452.93,131359.39,40.19,109981.2,31975.09,3144.96,10472.37,0,50726.08,80633.3,24.67,54,5978,174,3.22,9.39,3.8
19,ST_0001,2023,4,April,Q2,Groceries,Rice & Grains,1009917.03,884997.39,124919.65,12.37,590940.0,159875.45,11587.45,32508.84,0,173555.45,-48635.8,-4.82,1212,833,4946,4.08,12.52,3.8
20,ST_0001,2023,4,April,Q2,Fresh Produce,Dairy Products,721369.31,568903.11,152466.21,21.14,413820.0,114196.75,11177.75,24303.12,0,121558.13,30908.08,4.28,733,983,1836,2.51,13.97,4.6
21,ST_0001,2023,4,April,Q2,Personal Care,Skin Care,432821.59,297266.04,135555.54,31.32,236610.0,68518.05,3034.8,14188.42,0,72447.65,63107.89,14.58,425,1018,1685,3.97,10.53,4.1
22,ST_0001,2023,4,April,Q2,Home Care,Detergents,288547.72,218199.79,70347.93,24.38,206364.0,45678.7,4221.2,8367.95,0,45369.3,24978.63,8.66,318,905,1295,4.07,10.12,4.1
23,ST_0001,2023,4,April,Q2,Electronics,Mobile Accessories,230838.18,201124.22,29713.96,12.87,129172.8,36542.96,1929.52,3714.36,0,34962.03,-5248.07,-2.27,45,5127,147,3.27,10.98,4.1
24,ST_0001,2023,4,April,Q2,Fashion,Accessories,201983.41,94108.99,107874.42,53.41,127869.0,31975.09,2371.53,4206.05,0,26743.45,81130.97,40.17,47,4264,170,3.63,9.25,4.8
25,ST_0001,2023,5,May,Q2,Groceries,Dal & Pulses,1137227.29,1034748.13,102479.17,9.01,582078.0,159875.45,9803.85,23824.39,0,158427.15,-55947.99,-4.92,868,1310,3153,3.63,12.97,3.9
26,ST_0001,2023,5,May,Q2,Fresh Produce,Meat & Fish,812305.21,580750.91,231554.3,28.51,471195.0,114196.75,9127.5,21144.54,0,101479.72,130074.57,16.01,1269,640,5095,4.02,9.01,4.1
27,ST_0001,2023,5,May,Q2,Personal Care,Bath & Body,487383.13,364990.03,122393.09,25.11,305397.0,68518.05,5613.0,13327.07,0,72754.78,49638.31,10.18,333,1462,843,2.53,14.2,4.7
28,ST_0001,2023,5,May,Q2,Home Care,Paper Products,324922.08,236506.12,88415.97,27.21,157782.0,45678.7,2030.0,9803.7,0,54535.6,33880.37,10.43,208,1558,568,2.73,8.56,4.8
29,ST_0001,2023,5,May,Q2,Electronics,Home Appliances,259937.67,203677.3,56260.36,21.64,142358.4,36542.96,2429.92,3975.77,0,32513.76,23746.61,9.14,87,2962,233,2.69,11.53,3.9
30,ST_0001,2023,5,May,Q2,Fashion,Accessories,227445.46,123865.93,103579.53,45.54,129670.8,31975.09,2469.32,6626.45,0,31566.54,72013.0,31.66,38,5955,95,2.52,11.9,3.8
31,ST_0001,2023,6,June,Q2,Groceries,Oil & Ghee,965272.46,880155.39,85117.07,8.82,651651.0,159875.45,11827.9,15022.04,0,160231.87,-75114.8,-7.78,1313,735,4621,3.52,14.52,4.5
32,ST_0001,2023,6,June,Q2,Fresh Produce,Fruits,689480.33,504613.64,184866.68,26.81,458700.0,114196.75,7669.5,19191.71,0,98293.18,86573.5,12.56,1015,679,3954,3.9,13.22,4.7
33,ST_0001,2023,6,June,Q2,Personal Care,Oral Care,413688.2,284912.9,128775.29,31.13,303579.0,68518.05,5727.0,6479.96,0,51733.95,77041.34,18.62,238,1737,668,2.81,14.0,4.6
34,ST_0001,2023,6,June,Q2,Home Care,Cleaning Supplies,275792.13,215874.83,59917.3,21.73,159264.0,45678.7,4988.3,4895.41,0,38470.25,21447.05,7.78,256,1077,693,2.71,10.59,4.5
35,ST_0001,2023,6,June,Q2,Electronics,Kitchen Appliances,220633.7,191804.05,28829.65,13.07,140548.8,36542.96,3345.04,3434.2,0,30148.76,-1319.11,-0.6,57,3825,220,3.86,13.63,4.1
36,ST_0001,2023,6,June,Q2,Fashion,Clothing,193054.49,92949.62,100104.87,51.85,136353.0,31975.09,2145.99,6108.66,0,33382.76,66722.11,34.56,61,3161,198,3.26,10.02,4.5
37,ST_0001,2023,7,July,Q3,Groceries,Spices,1142746.02,1039701.32,103044.71,9.02,657342.0,159875.45,16194.85,30697.69,0,144403.61,-41358.9,-3.62,1045,1093,3460,3.31,10.21,4.6
38,ST_0001,2023,7,July,Q3,Fresh Produce,Fruits,816247.16,601805.07,214442.09,26.27,398655.0,114196.75,5654.5,13162.07,0,110082.56,104359.53,12.79,561,1453,1520,2.71,9.88,4.3
39,ST_0001,2023,7,July,Q3,Personal Care,Bath & Body,489748.3,349119.46,140628.84,28.71,282465.0,68518.05,4431.9,13596.29,0,64236.5,76392.34,15.6,496,986,1907,3.85,11.82,4.2
40,ST_0001,2023,7,July,Q3,Home Care,Paper Products,326498.86,247727.02,78771.84,24.13,195906.0,45678.7,4427.9,10747.88,0,51606.97,27164.87,8.32,194,1682,842,4.34,13.09,3.8
41,ST_0001,2023,7,July,Q3,Electronics,Mobile Accessories,261199.09,214151.4,47047.69,18.01,151756.8,36542.96,2676.64,9093.31,0,44436.95,2610.74,1.0,48,5416,130,2.72,9.41,4.5
42,ST_0001,2023,7,July,Q3,Fashion,Footwear,228549.2,111432.67,117116.54,51.24,117154.8,31975.09,1596.84,4295.24,0,32677.55,84438.99,36.95,58,3889,146,2.53,9.84,4.7
43,ST_0001,2023,8,August,Q3,Groceries,Dal & Pulses,937131.47,820741.55,116389.92,12.42,708372.0,159875.45,12378.45,21633.12,0,145770.27,-29380.36,-3.14,724,1293,1909,2.64,13.2,4.5
44,ST_0001,2023,8,August,Q3,Fresh Produce,Vegetables,669379.62,519652.43,149727.19,22.37,458295.0,114196.75,8826.25,18934.73,0,89267.17,60460.02,9.03,469,1426,2044,4.36,12.2,4.2
45,ST_0001,2023,8,August,Q3,Personal Care,Hair Care,401627.77,287824.1,113803.67,28.34,245709.0,68518.05,4808.85,6674.42,0,59744.89,54058.78,13.46,317,1263,1130,3.57,12.03,4.3
46,ST_0001,2023,8,August,Q3,Home Care,Cleaning Supplies,267751.85,211818.66,55933.19,20.89,168888.0,45678.7,3659.9,5832.06,0,40910.89,15022.3,5.61,222,1204,608,2.74,11.13,4.0
47,ST_0001,2023,8,August,Q3,Electronics,Kitchen Appliances,214201.48,182677.54,31523.94,14.72,144667.2,36542.96,2103.76,4281.09,0,37228.52,-5704.58,-2.66,37,5776,135,3.66,8.06,4.5
48,ST_0001,2023,8,August,Q3,Fashion,Clothing,187426.29,106047.54,81378.75,43.42,134920.8,31975.09,2321.69,4055.46,0,29313.33,52065.42,27.78,31,5909,112,3.63,13.81,4.0
49,ST_0001,2023,9,September,Q3,Groceries,Dal & Pulses,1187493.95,1084271.22,103222.73,8.69,712131.0,159875.45,7807.45,29077.92,0,156497.45,-53274.72,-4.49,1617,734,6213,3.84,8.1,4.7
50,ST_0001,2023,9,September,Q3,Fresh Produce,Vegetables,848209.96,677671.89,170538.08,20.11,421320.0,114196.75,12091.25,29602.23,0,138473.66,32064.41,3.78,752,1127,3234,4.3,8.58,4.8
51,ST_0001,2023,9,September,Q3,Personal Care,Oral Care,508925.98,315123.91,193802.07,38.08,293121.0,68518.05,4438.95,12463.68,0,79732.83,114069.24,22.41,325,1562,1095,3.37,14.54,4.5
52,ST_0001,2023,9,September,Q3,Home Care,Detergents,339283.99,245719.93,93564.05,27.58,157218.0,45678.7,2808.5,9826.19,0,46745.89,46818.16,13.8,195,1734,798,4.1,14.42,4.2
53,ST_0001,2023,9,September,Q3,Electronics,Home Appliances,271427.19,238672.51,32754.68,12.07,138998.4,36542.96,2322.56,7178.65,0,40790.09,-8035.42,-2.96,53,5115,132,2.5,12.38,4.5
54,ST_0001,2023,9,September,Q3,Fashion,Accessories,237498.79,135931.51,101567.28,42.77,143098.2,31975.09,1889.79,4109.26,0,32441.69,69125.59,29.11,71,3324,181,2.56,8.52,4.7
